ID;name;country;lat;lon;dwell_time;th_var
p1;Algeciras;Spain;36.1410956;-5.4381398;2;0.75
p2;Genoa;Italy;44.4147155;8.9152624;1.5;1.25
p3;Dunkerque;France;51.025322;2.319269;2.5;1.75
p4;Marseille;France;43.29695;5.38107;1;1.5
p5;Gdansk Port;Poland;54.3991953;18.6675405;0.5;2.25
p6;Saint-Brieuc Port;France;48.5307257;-2.7153271;2;1.5
p7;Durres Port;Albania;41.3187308;19.4488134;1.5;0.75
p8;Taranto Port;Italy;40.4833333;17.2;0.5;0.25
p9;Aveiro Port;Portugal;40.65;-8.75;0.5;0.75
p10;Santander Port;Spain;43.465671;-3.7981273;0.75;1.125







